brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,467.88,4,106,13,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,539.88,4,42,4,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,437.88,3,0,0,,,
Lenovo,Intel,Core i3,8,DDR4,256,0,Windows,32,0,Casual,0,No,No,467.64,3,0,0,,,
HP,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,538.8,4,1029,107,,,
MSI,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,467.88,4,53,11,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,533.12,3,0,0,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,431.88,3,0,0,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,482.4,3,48,1,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,491.88,3,3,0,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,509.88,3,0,0,,,
Acer,Intel,Celeron Dual,4,DDR4,0,512,Windows,32,0,Casual,0,No,No,287.88,3,61,4,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,0,Yes,No,863.99,4,97,13,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,479.88,4,181,19,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,503.98,4,529,39,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,503.88,3,0,0,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,479.99,3,0,0,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,479.88,3,0,0,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,479.98,4,10,1,,,
HP,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,509.88,4,5205,561,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,503.88,3,3,0,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,581.88,3,0,0,,,
HP,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,532.51,4,1090,96,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,526.8,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,560.28,3,0,0,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,0,No,No,491.88,5,1,1,,,
Dell,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,479.88,4,44,2,,,
Lenovo,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,527.88,3,0,0,,,
